id,terrestrial_date,sol,ls,month,min_temp,max_temp,pressure,atmo_opacity,min_temp_F,max_temp_F
1895,2/27/2018,1977,135,Month 5,-77,-10,727,Sunny,-106.6,14
1893,2/26/2018,1976,135,Month 5,-77,-10,728,Sunny,-106.6,14
1894,2/25/2018,1975,134,Month 5,-76,-16,729,Sunny,-104.8,3.2
1892,2/24/2018,1974,134,Month 5,-77,-13,729,Sunny,-106.6,8.6
1889,2/23/2018,1973,133,Month 5,-78,-18,730,Sunny,-108.4,-0.4
1891,2/22/2018,1972,133,Month 5,-78,-14,730,Sunny,-108.4,6.8
1890,2/21/2018,1971,132,Month 5,-78,-13,731,Sunny,-108.4,8.6
1888,2/20/2018,1970,132,Month 5,-77,-16,731,Sunny,-106.6,3.2
1887,2/19/2018,1969,131,Month 5,-76,-16,732,Sunny,-104.8,3.2
1886,2/18/2018,1968,131,Month 5,-76,-19,732,Sunny,-104.8,-2.2
1885,2/17/2018,1967,130,Month 5,-76,-15,734,Sunny,-104.8,5
1884,2/16/2018,1966,130,Month 5,-77,-18,735,Sunny,-106.6,-0.4
1883,2/15/2018,1965,129,Month 5,-76,-12,735,Sunny,-104.8,10.4
1882,2/14/2018,1964,129,Month 5,-76,-16,736,Sunny,-104.8,3.2
1881,2/13/2018,1963,128,Month 5,-77,-14,737,Sunny,-106.6,6.8
1880,2/12/2018,1962,128,Month 5,-78,-14,738,Sunny,-108.4,6.8
1877,2/11/2018,1961,127,Month 5,-77,-21,740,Sunny,-106.6,-5.8
1876,2/9/2018,1960,127,Month 5,-78,-14,740,Sunny,-108.4,6.8
1878,2/8/2018,1959,126,Month 5,-78,-15,740,Sunny,-108.4,5
1874,2/7/2018,1958,126,Month 5,-77,-14,741,Sunny,-106.6,6.8
1875,2/6/2018,1957,125,Month 5,-77,-21,742,Sunny,-106.6,-5.8
1879,2/5/2018,1956,125,Month 5,-79,-14,744,Sunny,-110.2,6.8
1873,2/4/2018,1955,124,Month 5,-77,-21,745,Sunny,-106.6,-5.8
