ls,bna_min,bna_max,bna_avg,mars_min,mars_max,mars_avg
0,59.29,83.57,71.43,-74.5,-11.67,-43.08
1,58,82.43,70.22,-75.4,-12.2,-43.8
2,59.14,83.71,71.42,-73.67,-11.17,-42.42
3,62.43,83.57,73,-76.2,-12.4,-44.3
4,62,81.86,71.93,-75.67,-15.67,-45.67
5,60.43,81.71,71.07,-76.25,-13.25,-44.75
6,60.29,80.57,70.43,-75.5,-14.25,-44.88
7,58.71,78.14,68.42,-76,-12.8,-44.4
8,56.43,77.57,67,-76.5,-12,-44.25
9,58.14,78.29,68.22,-77.33,-14.83,-46.08
10,60.86,76.43,68.65,-76.5,-14.83,-45.66
11,58,78.71,68.35,-77,-14,-45.5
12,56,81,68.5,-77.17,-13.5,-45.34
13,57.43,84.86,71.14,-77.83,-13,-45.42
14,58,80.43,69.22,-77.5,-12.67,-45.08
15,57,79.57,68.28,-76.67,-17.5,-47.08
16,57.14,78,67.57,-76.67,-14.83,-45.75
17,57,79.43,68.22,-77.29,-13.57,-45.43
18,58.57,76.71,67.64,-77.83,-18,-47.92
19,51,74.43,62.72,-77.33,-17,-47.16
20,51.57,73.57,62.57,-77,-18,-47.5
21,54.86,75.86,65.36,-77.67,-20.5,-49.08
22,55.86,75.43,65.65,-77.5,-20.17,-48.84
23,53.29,74.43,63.86,-77.71,-16.86,-47.28
24,50.14,69.14,59.64,-77.83,-19.67,-48.75
25,47.71,73.14,60.42,-78.57,-17.71,-48.14
26,47.14,70.14,58.64,-79.17,-17.5,-48.34
27,44,72.14,58.07,-78.67,-17,-47.84
28,43.86,71.43,57.64,-79.17,-16.33,-47.75
29,43.43,71.86,57.64,-79.71,-17.43,-48.57
30,48.14,71.71,59.92,-78.5,-19.5,-49
31,45,72.14,58.57,-79.5,-19.67,-49.58
32,46.86,70.29,58.58,-78.29,-20.71,-49.5
33,46,68.29,57.14,-78.86,-20.86,-49.86
34,45.14,69.14,57.14,-78.67,-20.5,-49.58
35,49.71,66.86,58.28,-78.83,-21.33,-50.08
36,47.57,68.86,58.22,-78.71,-21.14,-49.92
37,43,66.71,54.86,-79.17,-22.17,-50.67
38,43.43,71,57.22,-79.17,-22.33,-50.75
39,49.29,66.86,58.08,-79.29,-22.71,-51
40,46.71,67.43,57.07,-80.57,-24,-52.28
41,48,67.71,57.86,-79.5,-23.5,-51.5
42,47,71.71,59.36,-79.57,-23.43,-51.5
43,48.29,70,59.14,-80.67,-24,-52.34
44,51.86,70.57,61.22,-79.17,-23.17,-51.17
45,49.43,68.71,59.07,-78.6,-23.2,-50.9
46,43.29,60,51.64,-79,-22.25,-50.62
47,40.86,60.14,50.5,-79.33,-25.33,-52.33
48,38.86,60.43,49.64,-80,-22.2,-51.1
49,36.57,62.29,49.43,-79.5,-24.5,-52
50,35.86,66.86,51.36,-80.86,-25.14,-53
51,39,56.43,47.72,-80,-22.5,-51.25
52,31.71,51.29,41.5,-79.25,-25.5,-52.38
53,30.43,53.71,42.07,-81.33,-25.67,-53.5
54,32.14,56,44.07,-81.67,-24.83,-53.25
55,38.14,60,49.07,-81.38,-26.75,-54.06
56,39.57,65.57,52.57,-81.83,-26.33,-54.08
57,39.57,63,51.28,-81.43,-26.71,-54.07
58,34.71,58.43,46.57,-81.83,-26.17,-54
59,33.29,55.57,44.43,-81.86,-26.57,-54.22
60,33.86,59.71,46.78,-82,-28.4,-55.2
61,34.29,58,46.14,-80.5,-26.25,-53.38
62,35,57.71,46.36,-81,-29.4,-55.2
63,34,55.86,44.93,-81.25,-29,-55.12
64,36,57.29,46.64,-83,-27.88,-55.44
65,35.86,55.14,45.5,-82.67,-29,-55.84
66,30.86,49.86,40.36,-82.14,-28.29,-55.22
67,33.43,54,43.72,-83.17,-26.83,-55
68,35.71,62,48.86,-83.71,-29.57,-56.64
69,45.14,64,54.57,-83.57,-29.14,-56.36
70,42.71,61,51.86,-84,-27.83,-55.92
71,42.71,60.86,51.78,-84.14,-29,-56.57
72,41.71,55.71,48.71,-82.57,-28.86,-55.72
73,43.57,58.43,51,-83.43,-27.43,-55.43
74,36.86,59.29,48.08,-83.5,-29,-56.25
75,34.57,53.43,44,-84,-26.14,-55.07
76,37.57,49.29,43.43,-85,-28.83,-56.92
77,35.14,49,42.07,-83.38,-27,-55.19
